               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.05421,            0.018754,             0.03203,             0.30778,             0.88889,             0.69308,             0.33898,            0.032217,            0.008444,            0.020548,           0.0056688,           0.0056688,           0.0056688
                  37,            0.046711,            0.016024,            0.031109,             0.47731,             0.63889,             0.73335,              0.4393,             0.03047,            0.008122,            0.020366,            0.005545,            0.005545,            0.005545
                  38,            0.048796,            0.015524,            0.031702,             0.34482,             0.80295,             0.69457,             0.32539,            0.033864,           0.0081292,            0.020301,           0.0054212,           0.0054212,           0.0054212
                  39,            0.055641,            0.015635,            0.031007,             0.44923,             0.94444,             0.69124,             0.40978,              0.0257,           0.0081469,            0.020272,           0.0052975,           0.0052975,           0.0052975
                  40,            0.047664,            0.016048,            0.032808,             0.44923,             0.94444,             0.69124,             0.40978,              0.0257,           0.0081469,            0.020272,           0.0051737,           0.0051737,           0.0051737
                  41,            0.050957,             0.01616,            0.031384,              0.4711,             0.94444,             0.66168,             0.34988,            0.029837,           0.0075531,             0.02033,             0.00505,             0.00505,             0.00505
                  42,            0.051453,            0.015461,            0.030511,             0.21239,             0.91667,             0.29677,             0.10746,            0.033166,           0.0082227,            0.020262,           0.0049263,           0.0049263,           0.0049263
                  43,            0.056648,            0.015065,            0.029982,             0.41188,             0.94444,             0.67022,              0.4061,            0.028232,           0.0079296,            0.020175,           0.0048025,           0.0048025,           0.0048025
                  44,            0.047654,            0.013558,            0.029107,             0.41188,             0.94444,             0.67022,              0.4061,            0.028232,           0.0079296,            0.020175,           0.0046788,           0.0046788,           0.0046788
                  45,            0.047118,            0.015412,            0.029599,             0.48497,             0.82558,             0.76887,             0.23729,            0.032451,           0.0078872,            0.020162,            0.004555,            0.004555,            0.004555
                  46,            0.048708,            0.015524,            0.029185,             0.45694,             0.86616,             0.70143,             0.35051,             0.02737,           0.0074755,            0.020009,           0.0044313,           0.0044313,           0.0044313
                  47,            0.043943,            0.014265,            0.030212,             0.48196,             0.88889,              0.8027,              0.3945,             0.03077,           0.0074749,            0.019961,           0.0043075,           0.0043075,           0.0043075
                  48,            0.041773,             0.01413,            0.031771,             0.48196,             0.88889,              0.8027,              0.3945,             0.03077,           0.0074749,            0.019961,           0.0041837,           0.0041837,           0.0041837
                  49,            0.038919,            0.014056,             0.02956,             0.50731,             0.91667,             0.83519,             0.49133,            0.019826,           0.0076298,            0.019737,             0.00406,             0.00406,             0.00406
                  50,            0.042142,            0.017311,            0.029433,             0.27154,             0.50938,             0.52284,              0.2392,            0.032917,           0.0078901,            0.019685,           0.0039362,           0.0039362,           0.0039362
                  51,            0.048227,            0.014064,            0.029625,             0.45542,             0.87183,             0.75377,             0.38681,            0.021917,           0.0076652,            0.019546,           0.0038125,           0.0038125,           0.0038125
                  52,            0.038767,            0.015055,            0.028547,             0.45542,             0.87183,             0.75377,             0.38681,            0.021917,           0.0076652,            0.019546,           0.0036888,           0.0036888,           0.0036888
                  53,            0.042988,             0.01421,            0.030422,             0.50405,             0.88889,             0.84146,              0.5585,            0.024135,            0.007496,            0.019536,            0.003565,            0.003565,            0.003565
                  54,            0.044338,            0.017415,            0.030653,             0.40944,             0.91667,             0.81534,              0.3122,            0.029585,           0.0073481,            0.019461,           0.0034413,           0.0034413,           0.0034413
                  55,             0.04768,            0.012459,            0.029751,             0.44292,             0.88889,             0.83811,             0.45234,            0.025663,           0.0074064,            0.019432,           0.0033175,           0.0033175,           0.0033175
                  56,            0.035836,            0.015007,            0.029342,             0.44292,             0.88889,             0.83811,             0.45234,            0.025663,           0.0074064,            0.019432,           0.0031938,           0.0031938,           0.0031938
                  57,             0.03769,            0.015353,             0.02906,             0.52259,             0.92934,             0.84546,             0.56871,            0.017894,            0.007129,             0.01938,             0.00307,             0.00307,             0.00307
                  58,            0.038263,            0.013376,            0.029229,             0.45981,             0.91667,             0.83131,             0.45994,            0.025359,           0.0072326,            0.019341,           0.0029462,           0.0029462,           0.0029462
                  59,            0.038655,            0.014273,            0.029085,             0.43252,                   1,             0.83034,             0.46271,            0.019928,           0.0070574,            0.019264,           0.0028225,           0.0028225,           0.0028225
                  60,             0.03276,            0.013346,            0.028408,             0.43252,                   1,             0.83034,             0.46271,            0.019928,           0.0070574,            0.019264,           0.0026987,           0.0026987,           0.0026987
                  61,            0.031138,            0.012772,            0.029509,             0.53147,                   1,             0.84013,             0.55542,            0.015634,           0.0069896,            0.019247,            0.002575,            0.002575,            0.002575
                  62,            0.034085,            0.012256,            0.028608,             0.44939,             0.97222,              0.8459,             0.36586,            0.023986,           0.0069388,            0.019176,           0.0024513,           0.0024513,           0.0024513
                  63,            0.038405,            0.013722,            0.030307,             0.52882,                   1,             0.88326,             0.58826,            0.015428,           0.0067969,            0.019079,           0.0023275,           0.0023275,           0.0023275
                  64,            0.030282,             0.01373,             0.02932,             0.52882,                   1,             0.88326,             0.58826,            0.015428,           0.0067969,            0.019079,           0.0022038,           0.0022038,           0.0022038
                  65,            0.031997,            0.013666,            0.028587,             0.52871,                   1,             0.87734,             0.62152,            0.016577,           0.0067692,             0.01904,             0.00208,             0.00208,             0.00208
                  66,            0.032227,            0.012574,            0.029328,             0.51937,                   1,             0.90435,             0.47303,            0.020186,           0.0068969,            0.018985,           0.0019563,           0.0019563,           0.0019563
                  67,            0.034866,            0.013139,            0.029527,             0.52749,                   1,              0.9244,             0.64309,            0.014776,           0.0066654,            0.018943,           0.0018325,           0.0018325,           0.0018325
                  68,            0.030895,            0.015115,            0.028648,             0.52749,                   1,              0.9244,             0.64309,            0.014776,           0.0066654,            0.018943,           0.0017087,           0.0017087,           0.0017087
                  69,            0.031435,            0.015161,             0.02872,             0.52758,                   1,             0.92733,             0.74227,             0.01409,           0.0065127,            0.018917,            0.001585,            0.001585,            0.001585
                  70,            0.031983,            0.013216,            0.029085,              0.5338,                   1,             0.94144,             0.62585,            0.018548,           0.0066753,            0.018832,           0.0014612,           0.0014612,           0.0014612
                  71,             0.03127,            0.013749,            0.029181,             0.53688,                   1,              0.9423,             0.72622,            0.014693,           0.0065101,            0.018797,           0.0013375,           0.0013375,           0.0013375
                  72,            0.029293,            0.013666,            0.028713,             0.53688,                   1,              0.9423,             0.72622,            0.014693,           0.0065101,            0.018797,           0.0012138,           0.0012138,           0.0012138
                  73,            0.028295,            0.012739,            0.027443,             0.53867,                   1,             0.93395,             0.74314,            0.013516,           0.0064552,            0.018764,             0.00109,             0.00109,             0.00109
                  74,            0.026613,            0.013049,            0.028009,             0.54679,                   1,             0.91215,             0.71451,            0.014344,           0.0064366,            0.018745,          0.00096625,          0.00096625,          0.00096625
                  75,             0.03149,            0.012201,            0.029704,             0.55835,                   1,             0.88768,             0.65974,            0.015446,           0.0065714,            0.018716,           0.0008425,           0.0008425,           0.0008425
                  76,            0.027668,            0.012365,              0.0289,             0.55835,                   1,             0.88768,             0.65974,            0.015446,           0.0065714,            0.018716,          0.00071875,          0.00071875,          0.00071875
                  77,            0.026746,            0.014079,            0.027997,             0.55956,                   1,             0.88046,             0.68899,             0.01379,           0.0065104,            0.018699,            0.000595,            0.000595,            0.000595
                  78,            0.027446,            0.012999,             0.02806,             0.55513,                   1,             0.87859,             0.69924,            0.012105,           0.0064286,            0.018677,          0.00047125,          0.00047125,          0.00047125
                  79,            0.027786,            0.012268,            0.028278,             0.54228,                   1,             0.87438,             0.70683,            0.012658,           0.0064272,            0.018674,           0.0003475,           0.0003475,           0.0003475
