               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.056702,             0.01854,             0.03258,             0.44517,             0.89324,             0.62305,               0.321,            0.032423,           0.0084308,            0.020911,            0.006535,            0.006535,            0.006535
                  37,            0.054388,            0.016263,            0.030581,             0.24095,             0.86616,             0.32866,            0.098749,             0.03179,           0.0086546,            0.020668,            0.006436,            0.006436,            0.006436
                  38,            0.055525,            0.015848,             0.03142,             0.15936,             0.94444,             0.22219,            0.076545,            0.041243,           0.0078918,            0.020668,            0.006337,            0.006337,            0.006337
                  39,            0.061914,            0.014982,             0.03144,             0.39596,             0.83838,             0.51744,             0.24969,            0.028362,           0.0081567,            0.020593,            0.006238,            0.006238,            0.006238
                  40,            0.054343,            0.016586,            0.032283,             0.39596,             0.83838,             0.51744,             0.24969,            0.028362,           0.0081567,            0.020593,            0.006139,            0.006139,            0.006139
                  41,            0.048841,            0.016529,            0.031715,             0.34241,             0.75505,             0.46223,             0.19493,            0.031061,            0.008182,            0.020496,             0.00604,             0.00604,             0.00604
                  42,            0.054175,             0.01534,            0.030563,               0.099,             0.87121,             0.10589,            0.059194,            0.050534,           0.0075928,            0.020522,            0.005941,            0.005941,            0.005941
                  43,            0.064888,            0.014673,            0.030624,             0.40416,             0.70187,             0.61497,             0.27202,            0.024757,           0.0079406,            0.020411,            0.005842,            0.005842,            0.005842
                  44,             0.04208,            0.014244,            0.028776,             0.40416,             0.70187,             0.61497,             0.27202,            0.024757,           0.0079406,            0.020411,            0.005743,            0.005743,            0.005743
                  45,            0.043651,            0.016061,            0.029988,             0.30916,             0.64394,             0.41172,             0.18274,            0.029513,           0.0079985,            0.020298,            0.005644,            0.005644,            0.005644
                  46,            0.048549,            0.016261,            0.029875,             0.46407,             0.80995,              0.7037,             0.26064,            0.034227,           0.0078369,            0.020253,            0.005545,            0.005545,            0.005545
                  47,            0.050195,            0.015067,            0.030615,             0.30843,             0.80556,             0.64149,              0.2309,            0.034286,           0.0080392,            0.020197,            0.005446,            0.005446,            0.005446
                  48,            0.046128,            0.014288,            0.032274,             0.30843,             0.80556,             0.64149,              0.2309,            0.034286,           0.0080392,            0.020197,            0.005347,            0.005347,            0.005347
                  49,            0.044317,            0.014881,             0.03033,             0.48236,             0.98198,             0.71661,             0.37461,            0.025377,           0.0076122,            0.020126,            0.005248,            0.005248,            0.005248
                  50,            0.050525,            0.017231,            0.030203,             0.76846,             0.45455,             0.51566,              0.1598,            0.044174,           0.0082853,            0.020065,            0.005149,            0.005149,            0.005149
                  51,            0.065355,            0.013987,            0.029439,             0.33771,                0.75,             0.64601,             0.42479,            0.026681,           0.0078815,            0.019886,             0.00505,             0.00505,             0.00505
                  52,            0.040211,            0.015956,            0.029617,             0.33771,                0.75,             0.64601,             0.42479,            0.026681,           0.0078815,            0.019886,            0.004951,            0.004951,            0.004951
                  53,             0.04388,            0.014315,            0.030778,             0.52406,             0.61616,             0.62956,              0.3802,            0.027306,           0.0073378,            0.019825,            0.004852,            0.004852,            0.004852
                  54,            0.046285,            0.018073,            0.030804,             0.46261,             0.92172,             0.66274,             0.24885,            0.027604,           0.0073981,            0.019792,            0.004753,            0.004753,            0.004753
                  55,            0.050689,            0.012958,            0.030542,             0.46348,             0.73622,             0.64246,             0.25946,             0.03224,           0.0073561,            0.019912,            0.004654,            0.004654,            0.004654
                  56,            0.038642,            0.016031,            0.029129,             0.46348,             0.73622,             0.64246,             0.25946,             0.03224,           0.0073561,            0.019912,            0.004555,            0.004555,            0.004555
                  57,            0.039873,            0.015943,             0.02991,             0.49274,             0.94444,             0.65856,             0.43336,            0.020981,           0.0071558,            0.019919,            0.004456,            0.004456,            0.004456
