               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046626,            0.016116,            0.031492,             0.47202,                0.75,             0.64659,             0.31807,             0.02859,           0.0086387,            0.020836,             0.00307,             0.00307,             0.00307
                  37,            0.040934,            0.016112,            0.031101,              0.5111,               0.951,             0.73747,             0.45723,            0.023056,           0.0084949,            0.020758,            0.002872,            0.002872,            0.002872
                  38,            0.044702,            0.015718,            0.030939,             0.35711,             0.80556,             0.64486,             0.24007,             0.02984,           0.0085447,            0.020645,            0.002674,            0.002674,            0.002674
                  39,            0.050897,            0.014959,            0.034449,             0.50223,             0.97222,               0.738,             0.41909,            0.024067,           0.0082891,            0.020668,            0.002476,            0.002476,            0.002476
                  40,            0.041395,            0.016691,            0.033716,             0.50223,             0.97222,               0.738,             0.41909,            0.024067,           0.0082891,            0.020668,            0.002278,            0.002278,            0.002278
                  41,            0.041433,            0.016625,            0.030509,             0.52696,             0.97222,             0.71892,             0.42039,            0.024086,           0.0081792,            0.020625,             0.00208,             0.00208,             0.00208
                  42,            0.038575,            0.014962,            0.030615,             0.52333,             0.97222,              0.7214,             0.43602,            0.023924,           0.0081643,            0.020587,            0.001882,            0.001882,            0.001882
                  43,            0.037785,            0.014794,             0.03057,             0.51348,             0.94444,             0.71984,             0.44047,             0.02145,           0.0081229,            0.020473,            0.001684,            0.001684,            0.001684
                  44,            0.033536,            0.016582,             0.03029,             0.51348,             0.94444,             0.71984,             0.44047,             0.02145,           0.0081229,            0.020473,            0.001486,            0.001486,            0.001486
                  45,            0.038286,            0.015809,            0.031588,             0.51749,             0.94444,              0.7408,             0.42343,            0.019847,           0.0081184,            0.020408,            0.001288,            0.001288,            0.001288
                  46,            0.036946,            0.014925,             0.03096,             0.51896,             0.96557,             0.73542,             0.51405,            0.018936,           0.0079819,            0.020386,             0.00109,             0.00109,             0.00109
                  47,            0.035276,            0.014962,            0.031705,             0.50979,             0.94444,             0.75368,             0.47648,            0.016617,           0.0080867,             0.02033,            0.000892,            0.000892,            0.000892
                  48,            0.034964,            0.016546,            0.031383,             0.50979,             0.94444,             0.75368,             0.47648,            0.016617,           0.0080867,             0.02033,            0.000694,            0.000694,            0.000694
                  49,            0.037891,            0.016854,            0.031495,             0.50826,             0.94444,             0.76355,             0.48949,             0.01645,           0.0080515,            0.020311,            0.000496,            0.000496,            0.000496
